GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
21.10.2017;0,199695391;0,289147837;0,321781387;0,371932455;0,394953707
22.10.2017;0,210874655;0,296696194;0,359349266;0,410664949;0,404401558
23.10.2017;0,328376505;0,334601102;0,420169504;0,479094782;0,480848765
24.10.2017;0,333753897;0,342720763;0,411587752;0,461025201;0,475151968
25.10.2017;0,322870338;0,334591001;0,396942218;0,444020804;0,45786738
26.10.2017;0,317247979;0,332536383;0,393413635;0,437281082;0,450202518
27.10.2017;0,356190477;0,351655056;0,443183189;0,481744474;0,496530731
28.10.2017;0,343142673;0,341324658;0,412717727;0,457157795;0,471023495
29.10.2017;0,367840862;0,355679939;0,455021;0,489891834;0,510395763
30.10.2017;0,351537692;0,340248311;0,415828935;0,462933807;0,479215287
31.10.2017;0,339621667;0,332114954;0,404201338;0,446625256;0,465596255
01.11.2017;0,337444857;0,330762951;0,402799081;0,446573553;0,460737295
02.11.2017;0,336584707;0,332786782;0,401746549;0,449564847;0,457343065
03.11.2017;0,348400757;0,342821557;0,42287771;0,469564412;0,468274776
