EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
30.06.2017;0,350332284;0,32695546;0,234208888;0,425810376;0,308450882
01.07.2017;0,347889548;0,335195297;0,201413208;0,420527239;0,303018773
02.07.2017;0,347015413;0,33563357;0,200757723;0,418167247;0,30245582
03.07.2017;0,357803006;0,340071494;0,206500126;0,424678782;0,30974955
04.07.2017;0,34211682;0,336766097;0,203899265;0,412123312;0,302146464
05.07.2017;0,321920491;0,330623912;0,198401546;0,39613251;0,293035181
06.07.2017;0,294801398;0,322791023;0,191956541;0,379976357;0,283339583
07.07.2017;0,273415779;0,315549466;0,189973885;0,369894542;0,274778371
08.07.2017;0,34782435;0,336787602;0,22898913;0,456379292;0,323560721
09.07.2017;0,349466614;0,339031845;0,230842836;0,480761692;0,326030438
10.07.2017;0,376907144;0,345475218;0,241462514;0,513698803;0,335997698
11.07.2017;0,383276777;0,348247496;0,243324509;0,519823285;0,337776457
12.07.2017;0,373783431;0,347663176;0,24155143;0,504903657;0,334668741
13.07.2017;0,382103749;0,346366145;0,243732046;0,518555528;0,336821487
14.07.2017;0,387813716;0,345997388;0,244284989;0,528028515;0,336784963
15.07.2017;0,382089441;0,346264451;0,243485453;0,53032717;0,336829528
16.07.2017;0,361853352;0,343818458;0,237497117;0,500909537;0,330353177
17.07.2017;0,343310832;0,340834448;0,230386709;0,472360979;0,324208987
18.07.2017;0,334809701;0,337598496;0,224056471;0,460219027;0,319177762
19.07.2017;0,355292524;0,3372074;0,230864479;0,487108448;0,326685618
20.07.2017;0,413114731;0,353429519;0,249848397;0,560648547;0,344335422
21.07.2017;0,396168491;0,369998098;0,245729552;0,530562438;0,337358467
22.07.2017;0,386767271;0,374278652;0,244544846;0,518309644;0,335706745
23.07.2017;0,406433419;0,37946772;0,250619244;0,542733181;0,339920322
24.07.2017;0,425200768;0,38401726;0,253873727;0,555281825;0,342060269
25.07.2017;0,425357678;0,384922261;0,252223902;0,557042431;0,341415059
26.07.2017;0,451170752;0,385610176;0,258097721;0,5785522;0,343665201
27.07.2017;0,413268194;0,379947183;0,249095004;0,548581938;0,337931182
28.07.2017;0,420274976;0,382803268;0,268920683;0,556275815;0,339808594
29.07.2017;0,403553753;0,378069515;0,304999402;0,539089513;0,337675766
30.07.2017;0,410852693;0,37788042;0,322642178;0,546440889;0,339827423
31.07.2017;0,411599912;0,382059148;0,335429535;0,55211016;0,3410801
01.08.2017;0,386433609;0,373844782;0,340794324;0,515676111;0,336476161
02.08.2017;0,363814879;0,36772944;0,327891648;0,489363213;0,332334134
03.08.2017;0,348681178;0,362944504;0,312448393;0,468816184;0,328253179
04.08.2017;0,326652436;0,357480597;0,28438154;0,447115871;0,324215777
05.08.2017;0,3200869;0,354967601;0,278432044;0,446976795;0,32318735
06.08.2017;0,410799151;0,364251151;0,34438017;0,549662273;0,338793306
07.08.2017;0,409293633;0,376506065;0,364938446;0,543255602;0,341592427
08.08.2017;0,402042801;0,373071371;0,369538315;0,543237363;0,341693806
09.08.2017;0,443137569;0,388192239;0,38666049;0,592763038;0,347838843
10.08.2017;0,443927728;0,385705207;0,386774164;0,587465095;0,346699471
11.08.2017;0,451494007;0,386176254;0,388243173;0,589361703;0,345528211
12.08.2017;0,441584756;0,385139356;0,386952853;0,581768605;0,343942734
13.08.2017;0,415013737;0,37918527;0,388426947;0,56109466;0,341121298
14.08.2017;0,397047269;0,372666466;0,394425459;0,53711487;0,338337627
15.08.2017;0,388143213;0,369854443;0,389947922;0,520722197;0,336725439
16.08.2017;0,442087404;0,385977865;0,41490055;0,588253731;0,34709221
17.08.2017;0,411228005;0,377633741;0,41075929;0,553649848;0,342378086
18.08.2017;0,403120861;0,371209988;0,407182054;0,541762719;0,340874662
19.08.2017;0,478255821;0,391990268;0,439180462;0,61597414;0,351573011
20.08.2017;0,439211639;0,383063893;0,424322094;0,5791493;0,34559753
21.08.2017;0,418026242;0,376774913;0,416257575;0,55937894;0,34200639
22.08.2017;0,401318011;0,371037575;0,408907425;0,541069878;0,339517366
23.08.2017;0,38558685;0,366281956;0,400123883;0,51947488;0,336619892
24.08.2017;0,405213987;0,370417206;0,406048763;0,529104401;0,339186104
25.08.2017;0,443266191;0,38126018;0,433321133;0,574368503;0,345056446
26.08.2017;0,409378534;0,373371208;0,429305122;0,544781426;0,342343765
27.08.2017;0,388058589;0,368271683;0,417631165;0,522706301;0,339206989
28.08.2017;0,37632551;0,364435161;0,415879214;0,514043193;0,336906452
29.08.2017;0,371729632;0,361583197;0,418432943;0,511936923;0,337101253
30.08.2017;0,344850213;0,358340785;0,402727147;0,480544332;0,333532972
31.08.2017;0,371862596;0,358365121;0,417427785;0,520164128;0,338365988
01.09.2017;0,495716902;0,39045661;0,478765848;0,629087334;0,354480908
02.09.2017;0,525277944;0,396757834;0,502488946;0,650528897;0,356131214
03.09.2017;0,502479268;0,393521612;0,485295209;0,626866237;0,349835986
04.09.2017;0,451533962;0,384636239;0,457627906;0,587238419;0,344236016
05.09.2017;0,462243854;0,386741318;0,464414435;0,59377013;0,34621288
06.09.2017;0,464746193;0,387581819;0,464183524;0,591419496;0,346585168
07.09.2017;0,459190121;0,387518264;0,461044807;0,587320626;0,346224895
08.09.2017;0,434148309;0,380201263;0,451196469;0,568556168;0,343482963
09.09.2017;0,431817496;0,376408339;0,451611363;0,567038592;0,342719678
10.09.2017;0,488900791;0,392581052;0,475175339;0,606146816;0,348830709
11.09.2017;0,45988999;0,386111892;0,457775325;0,586277087;0,345029636
12.09.2017;0,472831746;0,388576368;0,465082155;0,593257765;0,346249076
13.09.2017;0,436141183;0,382723265;0,454582845;0,580793964;0,344167339
14.09.2017;0,449570272;0,387469179;0,469979943;0,595472821;0,346460011
15.09.2017;0,450146009;0,38700114;0,467458125;0,587769891;0,344681236
16.09.2017;0,507490764;0,395102285;0,518039465;0,608527688;0,347633294
17.09.2017;0,495917407;0,395343682;0,511378421;0,601576833;0,346609494
18.09.2017;0,482716941;0,392214114;0,505947862;0,593102802;0,344906617
19.09.2017;0,508982244;0,395381054;0,52319874;0,614744407;0,347981275
